Extract feature
Train and test
Accuracy  47.2 %
rank            importance                     label                         
1               0.031096564232413793           Outgoing Packet Ordering Standard Deviation
2               0.029281245298145603           Outgoing Packet Concentration Mean
3               0.02925028790859471            Incoming Packet Ordering Standard Deviation
4               0.02827303617297764            Incoming Packet Count         
5               0.028265078051813254           Incoming Packet Fraction      
6               0.027790514648991137           Incoming Packet Ordering Mean 
7               0.027684731989855764           Outgoing Packet Count         
8               0.026853889761426112           Outgoing Packet Fraction      
9               0.025334745428148578           Outgoing Packet Ordering Mean 
10              0.02030267275467276            Outgoing Packet Concentration Standard Deviation
11              0.018884223158319065           Packet Per Second Max         
12              0.016342771404704012           Subset 10 Outgoing Packet Concentration Mean
13              0.016162601663101843           Subset 10 Outgoing Packet Concentration Max
14              0.01582405883688906            Subset 2 Outgoing Packet Concentration Median
15              0.015770615574585024           Packet Per Second Standard Deviation
16              0.015574406140099686           Subset 9 Outgoing Packet Concentration Mean
17              0.015533366423287457           Subset 2 Outgoing Packet Concentration Mean
18              0.015484723433935976           Subset 9 Outgoing Packet Concentration Max
19              0.015395801051599847           Subset 2 Outgoing Packet Concentration Max
20              0.014941456857003816           Subset 10 Outgoing Packet Concentration Median
21              0.014919385045567949           Subset 11 Outgoing Packet Concentration Max
22              0.014716207834501943           Subset 9 Outgoing Packet Concentration Median
23              0.014407572923886421           Subset 11 Outgoing Packet Concentration Median
24              0.014323429950488386           Subset 11 Outgoing Packet Concentration Mean
25              0.014145358274753187           Subset 3 Outgoing Packet Concentration Mean
26              0.01393471213396231            Subset 3 Outgoing Packet Concentration Max
27              0.013820651055870277           Subset 3 Outgoing Packet Concentration Median
28              0.013635387641385438           Packet Per Second Median      
29              0.013415015738395026           Subset 4 Outgoing Packet Concentration Mean
30              0.013406579035556832           Subset 4 Outgoing Packet Concentration Median
31              0.013328826423889247           Subset 4 Outgoing Packet Concentration Max
32              0.013291185389685753           Packet Per Second Mean        
33              0.012823089519600008           Inter Arrival Time Mean       
34              0.012553929662108072           Outgoing Packet Concentration Max
35              0.012415038243748094           Subset 0 Packet Per Second Max
36              0.01181263540457539            Inter Arrival Time Standard Deviation
37              0.01155708455781389            Packet Per Second Min         
38              0.010492390462441905           Subset 8 Outgoing Packet Concentration Max
39              0.01047988428132704            Subset 0 Outgoing Packet Concentration Max
40              0.010104712823814583           Subset 8 Outgoing Packet Concentration Median
41              0.010067756706925834           Subset 0 Packet Per Second Mean
42              0.009899310008180623           Subset 0 Outgoing Packet Concentration Mean
43              0.009824512255955998           Subset 8 Outgoing Packet Concentration Mean
44              0.009707841122526449           Subset 12 Outgoing Packet Concentration Max
45              0.009591011861825474           Subset 7 Outgoing Packet Concentration Median
46              0.00949332991956944            Subset 0 Packet Per Second Standard Deviation
47              0.009388558219340747           Subset 12 Outgoing Packet Concentration Median
