Extract feature
Train and test
Accuracy  9.2 %
rank            importance                     label                         
1               0.01827539852491053            Packet Per Second Standard Deviation
2               0.018046195291073472           Outgoing Packet Ordering Mean 
3               0.017377433082898137           Packet Per Second Max         
4               0.016233346198951386           Outgoing Packet Ordering Standard Deviation
5               0.015484161099117908           Incoming Packet Ordering Mean 
6               0.015108569856087146           Incoming Packet Fraction      
7               0.015081059492191143           Incoming Packet Ordering Standard Deviation
8               0.01504063826938335            Incoming Packet Count         
9               0.014625972485129368           Outgoing Packet Concentration Mean
10              0.01458342375091509            Outgoing Packet Count         
11              0.014522368372544584           Outgoing Packet Fraction      
12              0.014431894877912394           Subset 0 Packet Per Second Standard Deviation
13              0.014328543896514946           Packet Per Second Median      
14              0.014194478756044942           Outgoing Packet Concentration Standard Deviation
15              0.014165035878927217           Subset 1 Packet Per Second Standard Deviation
16              0.013280216813139229           Subset 1 Packet Per Second Min
17              0.012280282366975417           Subset 1 Packet Per Second Max
18              0.010542474648008495           Subset 0 Packet Per Second Median
19              0.009286251185669012           Subset 0 Packet Per Second Max
20              0.009029934482324463           Subset 0 Packet Per Second Min
21              0.00897986737293038            Packet Per Second Min         
22              0.008510542618658277           Subset 1 Outgoing Packet Concentration Median
23              0.00850918474809461            Subset 1 Outgoing Packet Concentration Mean
24              0.00841809057202987            Subset 1 Outgoing Packet Concentration Max
25              0.007828865902180106           Ending Packet Concentration Outgoing
26              0.007745285111480975           Inter Arrival Time Standard Deviation
27              0.007740612261805781           Subset 1 Packet Per Second Median
28              0.007594316664442804           Inter Arrival Time Mean       
29              0.007378934509756772           Ending Packet Concentration Incoming
30              0.007199716470981544           Subset 7 Outgoing Packet Concentration Mean
31              0.007155620950503344           Subset 5 Outgoing Packet Concentration Median
32              0.007135717082667811           Packet Per Second Mean        
33              0.0070150689589077355          Subset 17 Outgoing Packet Concentration Median
34              0.006996468809250338           Subset 5 Outgoing Packet Concentration Max
35              0.0069078195190749965          Subset 7 Outgoing Packet Concentration Max
36              0.006861157819963194           Subset 19 Outgoing Packet Concentration Median
37              0.006785523607052155           Subset 5 Outgoing Packet Concentration Mean
38              0.006766298520793003           Starting Packet Concentration Outgoing
39              0.006692701415177166           Subset 7 Outgoing Packet Concentration Median
40              0.00668204577083182            Subset 17 Outgoing Packet Concentration Max
41              0.006653964833498082           Subset 19 Outgoing Packet Concentration Mean
42              0.0066377278181882675          Subset 3 Outgoing Packet Concentration Max
43              0.006603840396541288           Subset 16 Outgoing Packet Concentration Max
44              0.006582986325386621           Subset 4 Outgoing Packet Concentration Max
45              0.006568948958065854           Subset 4 Outgoing Packet Concentration Mean
46              0.006558688556077145           Subset 19 Outgoing Packet Concentration Max
47              0.006554911592644759           Subset 3 Outgoing Packet Concentration Median
48              0.006492536422720403           Subset 17 Outgoing Packet Concentration Mean
49              0.006484456193851982           Subset 16 Outgoing Packet Concentration Median
50              0.006465180013638177           Subset 8 Outgoing Packet Concentration Max
51              0.006452159823241889           Subset 4 Outgoing Packet Concentration Median
52              0.006422418169281899           Starting Packet Concentration Incoming
53              0.006374608355212011           Subset 0 Packet Per Second Mean
54              0.006324153147513637           Subset 2 Outgoing Packet Concentration Median
55              0.006313637153077985           Subset 2 Outgoing Packet Concentration Mean
56              0.006296508085859963           Subset 18 Outgoing Packet Concentration Max
57              0.006293933158962666           Subset 2 Packet Per Second Standard Deviation
58              0.0062925324167542466          Subset 8 Outgoing Packet Concentration Median
59              0.0062635899333462215          Subset 12 Outgoing Packet Concentration Max
60              0.006256996539622911           Subset 9 Outgoing Packet Concentration Mean
61              0.006251074898603424           Subset 12 Outgoing Packet Concentration Median
62              0.006245705152399531           Subset 2 Outgoing Packet Concentration Max
